Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C15, C4, C7",0805,6,100nF,C49678
"C10, C5, C6",0603,3,100pF,C14858
"C13, C2, C8",0805,3,1uF,C28323
"C14, C3, C9",0805,3,10uF,C15850
C16,0805,1,4.7uF,C98192
C17,CP_Elec_8x10.5,1,220uF/35V,C5246556
D1,D_SMA,1,SMAJ33A,C353454
F1_30AMP1,FUSE-TH_4P-L19.8-W6.7_3557-2,1,Fuse,C352820
"J1, J2, J7",PinHeader_1x06_P2.54mm_Vertical,3,Conn_01x06,C492405
"J14, J4",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,C2937625
"J15, J3",CONN-TH_XT60,2,XT60-M.,C98733
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,C2691448
"J6, J9",PinSocket_1x24_P2.54mm_Vertical,2,Conn_01x24,C2883741
J8,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,C492404
"R1, R15, R16, R17, R18, R19, R2, R20, R21, R22, R3, R4, R5, R6",0603,14,33R,C108661
"R10, R11, R12, R13, R14, R23, R24, R25, R26, R7, R8, R9",0603,12,10k,C98220
"R27, R28, R29, R30, R31",0603,5,100R,C105588
R32,0805,1,0R,C100045
"U1, U4",SOIC-20_L12.8-W7.5-P1.27-LS10.3-BL,2,SN74AHCT244,C2675568
U2,TSSOP-16_4.4x5mm_P0.65mm,1,CD74HC4050,C352825
U6,D24V50F5,1,D24V50F5,DNP
