Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",149.700000,-42.500000,90.000000,top
"C2","1uF","C_0805_2012Metric",147.500000,-42.500000,90.000000,top
"C3","10uF","C_0805_2012Metric",151.900000,-42.500000,90.000000,top
"C4","100nF","C_0805_2012Metric",119.200000,-104.250000,90.000000,top
"C5","100pF","C_0603_1608Metric",146.650000,-105.200000,180.000000,top
"C6","100pF","C_0603_1608Metric",146.625000,-103.600000,180.000000,top
"C7","100nF","C_0805_2012Metric",152.300000,-63.800000,90.000000,top
"C8","1uF","C_0805_2012Metric",147.900000,-63.800000,90.000000,top
"C9","10uF","C_0805_2012Metric",150.100000,-63.800000,90.000000,top
"C10","100pF","C_0603_1608Metric",146.625000,-102.000000,180.000000,top
"C11","100nF","C_0805_2012Metric",124.600000,-104.300000,90.000000,top
"C12","100nF","C_0805_2012Metric",150.250000,-93.600000,180.000000,top
"C13","1uF","C_0805_2012Metric",150.250000,-91.500000,180.000000,top
"C14","10uF","C_0805_2012Metric",150.250000,-95.700000,180.000000,top
"C15","100nF","C_0805_2012Metric",134.690000,-41.800000,90.000000,top
"C16","4.7uF","C_0805_2012Metric",137.700000,-41.800000,90.000000,top
"C17","220uF/35V","CP_Elec_8x10.5",88.600000,-74.000000,180.000000,top
"D1","SMAJ33A","D_SMA",88.500000,-90.500000,180.000000,top
"R1","33R","R_0603_1608Metric",159.575000,-48.300000,0.000000,top
"R2","33R","R_0603_1608Metric",159.575000,-50.800000,0.000000,top
"R3","33R","R_0603_1608Metric",159.575000,-53.300000,0.000000,top
"R4","33R","R_0603_1608Metric",159.575000,-55.700000,0.000000,top
"R5","33R","R_0603_1608Metric",122.700000,-104.500000,90.000000,top
"R6","33R","R_0603_1608Metric",117.300000,-104.350000,90.000000,top
"R7","10k","R_0603_1608Metric",137.000000,-69.880000,180.000000,top
"R8","10k","R_0603_1608Metric",137.000000,-73.100000,180.000000,top
"R9","10k","R_0603_1608Metric",137.000000,-77.880000,180.000000,top
"R10","10k","R_0603_1608Metric",137.000000,-79.480000,180.000000,top
"R11","10k","R_0603_1608Metric",137.000000,-76.280000,180.000000,top
"R12","10k","R_0603_1608Metric",137.000000,-74.680000,180.000000,top
"R13","10k","R_0603_1608Metric",137.000000,-71.500000,180.000000,top
"R14","10k","R_0603_1608Metric",137.000000,-68.300000,180.000000,top
"R15","33R","R_0603_1608Metric",159.600000,-57.300000,0.000000,top
"R16","33R","R_0603_1608Metric",159.600000,-59.900000,0.000000,top
"R17","33R","R_0603_1608Metric",159.600000,-62.400000,0.000000,top
"R18","33R","R_0603_1608Metric",159.600000,-65.000000,0.000000,top
"R19","33R","R_0603_1608Metric",159.675000,-80.200000,0.000000,top
"R20","33R","R_0603_1608Metric",159.675000,-81.800000,0.000000,top
"R21","33R","R_0603_1608Metric",159.675000,-83.400000,0.000000,top
"R22","33R","R_0603_1608Metric",159.675000,-85.000000,0.000000,top
"R23","10k","R_0603_1608Metric",137.375000,-54.500000,180.000000,top
"R24","10k","R_0603_1608Metric",137.375000,-51.900000,180.000000,top
"R25","10k","R_0603_1608Metric",137.375000,-49.300000,180.000000,top
"R26","10k","R_0603_1608Metric",137.375000,-46.700000,180.000000,top
"R27","100R","R_0603_1608Metric",150.825000,-102.000000,0.000000,top
"R28","100R","R_0603_1608Metric",150.825000,-103.600000,0.000000,top
"R29","100R","R_0603_1608Metric",150.825000,-105.200000,0.000000,top
"R30","100R","R_0603_1608Metric",121.100000,-104.500000,-90.000000,top
"R31","100R","R_0603_1608Metric",126.500000,-104.500000,-90.000000,top
"R32","0R","R_0805_2012Metric",85.000000,-56.000000,90.000000,top
"U1","SN74AHCT244","SOIC-20_L12.8-W7.5-P1.27-LS10.3-BL",147.600000,-73.100000,-90.000000,top
"U2","CD74HC4050","TSSOP-16_4.4x5mm_P0.65mm",155.500000,-92.900000,90.000000,top
"U4","SN74AHCT244","SOIC-20_L12.8-W7.5-P1.27-LS10.3-BL",147.100000,-51.400000,-90.000000,top
